FPS,Latency,Graph,TotalParts,PartitionPoint1,PartitionPoint2,Order,InferenceTime1,InferenceTime2,InferenceTime3
10.3148,96.9478,alexnet,8,8,8,G-L-B,96.5316,0,0
9.17683,259.278,alexnet,8,4,6,G-L-B,49.0649,108.82,27.664
5.74198,363.549,alexnet,8,2,6,G-L-B,30.991,174.057,27.7268
12.0899,195.228,alexnet,8,2,4,G-L-B,34.4311,77.4798,82.252
9.873,236.855,alexnet,8,2,5,G-L-B,35.8299,101.186,77.5149
7.23039,307.772,alexnet,8,3,6,G-L-B,42.4415,138.154,27.539
12.7899,181.083,alexnet,8,3,5,G-L-B,39.4562,62.7211,78.1722
7.95738,125.67,alexnet,8,8,8,B-G-L,125.668,0,0
16.7465,169.689,alexnet,8,4,6,B-G-L,52.118,57.5321,58.4864
14.8555,163.48,alexnet,8,2,6,B-G-L,37.5033,67.0845,53.6272
6.51388,224.202,alexnet,8,2,4,B-G-L,36.2647,24.209,153.385
7.76705,201.869,alexnet,8,2,5,B-G-L,37.2934,29.5704,128.724
16.1207,165.387,alexnet,8,3,6,B-G-L,45.6401,61.7424,56.2904
7.86311,211.082,alexnet,8,3,5,B-G-L,42.8207,24.1647,127.152
8.00018,124.997,alexnet,8,8,8,B-L-G,124.996,0,0
9.69669,249.821,alexnet,8,4,6,B-L-G,50.7606,102.981,34.9955
7.41135,298.17,alexnet,8,2,6,B-L-G,39.7972,134.833,35.485
14.4929,184.28,alexnet,8,2,4,B-L-G,56.895,57.3576,68.7121
13.4069,206.253,alexnet,8,2,5,B-L-G,58.5967,74.4607,67.6301
8.45802,273.264,alexnet,8,3,6,B-L-G,46.6257,118.083,35.4679
14.9624,196.119,alexnet,8,3,5,B-L-G,65.228,51.008,66.0068
2.45212,407.81,alexnet,8,8,8,L-G-B,407.809,0,0
3.81948,740.477,alexnet,8,4,6,L-G-B,261.813,59.5507,27.0313
5.12323,552.67,alexnet,8,2,6,L-G-B,195.188,69.5784,27.3427
5.08541,562.252,alexnet,8,2,4,L-G-B,196.639,29.6781,80.9071
5.11751,558.979,alexnet,8,2,5,L-G-B,195.406,37.8144,76.0556
4.35048,657.826,alexnet,8,3,6,L-G-B,229.858,90.0465,27.0192
4.27885,664.546,alexnet,8,3,5,L-G-B,233.706,22.5957,76.2383
2.4586,406.735,alexnet,8,8,8,L-B-G,406.734,0,0
3.63515,781.412,alexnet,8,4,6,L-B-G,275.089,78.6782,34.5149
4.19944,681.587,alexnet,8,2,6,L-B-G,238.125,155.887,34.6362
4.34826,658.646,alexnet,8,2,4,L-B-G,229.975,76.4891,72.9969
4.12901,693.476,alexnet,8,2,5,L-B-G,242.187,107.033,70.6668
3.92858,725.731,alexnet,8,3,6,L-B-G,254.543,109.601,34.7735
3.84775,741.769,alexnet,8,3,5,L-B-G,259.891,59.43,73.2125
10.5934,94.3981,googlenet,13,13,13,G-B-L,94.0239,0,0
11.5255,229.223,googlenet,13,7,10,G-B-L,58.7267,86.6344,60.641
4.50792,454.21,googlenet,13,3,10,G-B-L,26.7056,221.641,56.4998
3.79292,411.186,googlenet,13,3,6,G-B-L,28.9624,117.612,263.453
6.42207,341.505,googlenet,13,4,9,G-B-L,33.203,155.43,126.367
5.80997,339.516,googlenet,13,4,8,G-B-L,34.5631,131.801,171.9
7.78937,267.678,googlenet,13,5,9,G-B-L,47.4923,90.9942,128.173
10.5837,94.4846,googlenet,13,13,13,G-L-B,94.145,0,0
5.84363,384.202,googlenet,13,7,10,G-L-B,58.2477,170.871,16.851
2.35388,836.262,googlenet,13,3,10,G-L-B,26.8384,424.49,16.5991
4.54419,450.412,googlenet,13,3,6,G-L-B,26.8715,219.661,52.1924
3.32749,606.48,googlenet,13,4,9,G-L-B,31.7069,300.046,28.8045
3.96641,515.021,googlenet,13,4,8,G-L-B,32.1976,251.624,36.9728
5.60455,385.048,googlenet,13,5,9,G-L-B,43.9747,178.165,29.4867
7.79315,128.318,googlenet,13,13,13,B-G-L,128.317,0,0
10.8617,266.035,googlenet,13,7,10,B-G-L,92.065,56.3265,62.2492
14.3105,186.401,googlenet,13,3,10,B-G-L,49.0588,69.2747,66.1995
3.78213,356.415,googlenet,13,3,6,B-G-L,48.0857,37.9844,264.206
7.49281,253.594,googlenet,13,4,9,B-G-L,63.0255,55.9446,133.225
5.67324,292.933,googlenet,13,4,8,B-G-L,61.0257,46.7158,176.081
7.49095,288.316,googlenet,13,5,9,B-G-L,79.7256,38.8611,133.288
7.77392,128.635,googlenet,13,13,13,B-L-G,128.634,0,0
7.92971,361.84,googlenet,13,7,10,B-L-G,126.106,98.5374,32.0954
4.89768,451.454,googlenet,13,3,10,B-L-G,65.0947,203.862,31.2081
8.67564,291.32,googlenet,13,3,6,B-L-G,65.7844,114.888,76.4617
6.48034,379.929,googlenet,13,4,9,B-L-G,83.7256,153.799,59.8137
7.53544,338.036,googlenet,13,4,8,B-L-G,82.3569,132.209,69.9335
8.43812,341.661,googlenet,13,5,9,B-L-G,118.508,111.077,62.2966
1.32302,755.847,googlenet,13,13,13,L-G-B,755.846,0,0
1.87125,1505,googlenet,13,7,10,L-G-B,534.401,67.4313,16.5994
3.59667,786.161,googlenet,13,3,10,L-G-B,278.033,81.7295,16.4796
3.60116,789.174,googlenet,13,3,6,L-G-B,277.687,66.0477,51.9099
2.98187,952.096,googlenet,13,4,9,L-G-B,335.358,73.8061,28.6808
2.97985,947.076,googlenet,13,4,8,L-G-B,335.585,76.9282,37.1956
2.18842,1288.92,googlenet,13,5,9,L-G-B,456.949,69.5887,28.147
1.32088,757.074,googlenet,13,13,13,L-B-G,757.072,0,0
1.67187,1676.63,googlenet,13,7,10,L-B-G,598.132,164.391,30.5485
2.3775,1195.25,googlenet,13,3,10,L-B-G,420.607,406.966,31.0312
2.8177,996.461,googlenet,13,3,6,L-B-G,354.898,210.37,68.8884
2.27145,1233.99,googlenet,13,4,9,L-B-G,440.245,290.284,59.8049
2.36347,1190.1,googlenet,13,4,8,L-B-G,423.104,243.035,65.9874
1.90462,1472.26,googlenet,13,5,9,L-B-G,525.038,183.238,53.2313
19.8302,50.4282,mobilenet,28,28,28,G-B-L,50.0454,0,0
15.9504,145.465,mobilenet,28,14,21,G-B-L,27.6534,54.1997,62.4991
11.6569,171.072,mobilenet,28,7,21,G-B-L,20.3864,85.3665,63.3207
6.58619,203.145,mobilenet,28,7,14,G-B-L,16.8507,32.7035,151.646
7.76661,215.058,mobilenet,28,4,16,G-B-L,13.7854,71.3708,128.534
13.3281,165.103,mobilenet,28,12,24,G-B-L,23.2307,74.9665,37.9272
7.79628,175.806,mobilenet,28,12,16,G-B-L,22.8416,21.931,128.075
19.6518,50.886,mobilenet,28,28,28,G-L-B,50.4892,0,0
10.5597,203.207,mobilenet,28,14,21,G-L-B,25.0389,94.4355,13.0384
6.44987,313.626,mobilenet,28,7,21,G-L-B,19.3447,154.121,13.098
14.5358,147.117,mobilenet,28,7,14,G-L-B,21.6764,67.4958,30.6513
7.47028,268.219,mobilenet,28,4,16,G-L-B,13.5519,133.37,25.0662
7.61305,271.183,mobilenet,28,12,24,G-L-B,21.3491,131.226,8.82415
21.1651,108.371,mobilenet,28,12,16,G-L-B,26.9794,47.0912,24.6687
18.4121,54.312,mobilenet,28,28,28,B-G-L,54.3111,0,0
16.1007,121.024,mobilenet,28,14,21,B-G-L,30.2607,28.004,61.9219
16.0864,116.623,mobilenet,28,7,21,B-G-L,19.3677,33.7062,61.9745
6.5778,191.446,mobilenet,28,7,14,B-G-L,20.9657,16.9237,151.84
7.79128,165.146,mobilenet,28,4,16,B-G-L,10.1774,25.7997,128.161
25.7042,98.9145,mobilenet,28,12,24,B-G-L,26.3257,33.3805,38.8473
7.79152,180.035,mobilenet,28,12,16,B-G-L,26.5049,17.0949,128.151
18.562,53.8734,mobilenet,28,28,28,B-L-G,53.8724,0,0
20.8565,133.682,mobilenet,28,14,21,B-L-G,43.3514,47.6843,19.6705
14.7047,155.388,mobilenet,28,7,21,B-L-G,23.027,67.1635,37.2865
28.359,100.052,mobilenet,28,7,14,B-L-G,29.5626,33.8605,34.8618
16.8749,122.875,mobilenet,28,4,16,B-L-G,13.0754,58.7805,29.4186
16.7268,148.228,mobilenet,28,12,24,B-L-G,34.6097,59.6466,23.4262
26.6252,102.074,mobilenet,28,12,16,B-L-G,37.557,22.5896,30.8902
3.29365,303.614,mobilenet,28,28,28,L-G-B,303.613,0,0
6.41728,437.969,mobilenet,28,14,21,L-G-B,155.827,52.3055,13.4882
10.3889,266.912,mobilenet,28,7,21,L-G-B,96.2549,36.1218,13.776
10.5706,261.794,mobilenet,28,7,14,L-G-B,94.5998,24.4497,29.1232
19.4819,133.359,mobilenet,28,4,16,L-G-B,51.3275,26.6327,26.0212
7.19258,393.178,mobilenet,28,12,24,L-G-B,139.03,31.4011,8.67606
7.11523,393.18,mobilenet,28,12,16,L-G-B,140.542,21.4582,25.047
3.29316,303.66,mobilenet,28,28,28,L-B-G,303.659,0,0
5.44782,508.72,mobilenet,28,14,21,L-B-G,183.558,63.344,36.9688
7.12658,362.411,mobilenet,28,7,21,L-B-G,140.317,114.784,36.7444
8.80216,317.415,mobilenet,28,7,14,L-B-G,113.607,51.5178,34.8747
12.0918,227.217,mobilenet,28,4,16,L-B-G,70.9013,82.4011,30.2467
5.50819,474.658,mobilenet,28,12,24,L-B-G,181.546,93.7997,22.8066
6.57627,426.662,mobilenet,28,12,16,L-B-G,152.06,27.0075,33.1821
3.96116,252.452,resnet50,18,18,18,G-B-L,252.052,0,0
4.24143,535.358,resnet50,18,10,14,G-B-L,152.438,145.909,235.677
2.57742,678.2,resnet50,18,4,14,G-B-L,52.2349,387.79,236.688
1.4843,883.554,resnet50,18,4,8,G-B-L,48.8476,159.884,673.513
2.38966,768.023,resnet50,18,4,11,G-B-L,55.5601,292.824,418.122
3.90642,601.376,resnet50,18,7,14,G-B-L,106.617,255.61,237.21
2.40596,675.993,resnet50,18,7,11,G-B-L,101.703,156.759,415.196
3.97011,251.882,resnet50,18,18,18,G-L-B,251.452,0,0
3.09007,624.826,resnet50,18,10,14,G-L-B,124.962,323.119,76.9504
1.36382,1384.62,resnet50,18,4,14,G-L-B,41.8677,732.78,76.1536
3.49932,571.931,resnet50,18,4,8,G-L-B,41.0055,285.298,155.49
1.73922,1018.03,resnet50,18,4,11,G-L-B,44.7627,574.331,108.849
1.82351,1002.21,resnet50,18,7,14,G-L-B,76.324,547.492,76.9466
2.62657,637.823,resnet50,18,7,11,G-L-B,77.9628,379.415,109.363
3.86359,258.827,resnet50,18,18,18,B-G-L,258.826,0,0
4.22432,526.269,resnet50,18,10,14,B-G-L,154.621,72.8828,236.607
4.2166,473.219,resnet50,18,4,14,B-G-L,82.0671,153.202,237.063
1.48009,822.328,resnet50,18,4,8,B-G-L,79.0887,64.6611,675.427
2.4011,599.81,resnet50,18,4,11,B-G-L,74.5054,107.795,416.113
4.22308,500.029,resnet50,18,7,14,B-G-L,132.64,129.27,236.686
2.40127,641.665,resnet50,18,7,11,B-G-L,123.853,87.3265,416.085
3.87198,258.266,resnet50,18,18,18,B-L-G,258.265,0,0
4.6001,547.878,resnet50,18,10,14,B-L-G,214.182,216.863,94.9448
2.70834,732.069,resnet50,18,4,14,B-L-G,73.0731,368.768,102.335
5.26404,448.37,resnet50,18,4,8,B-L-G,96.5564,161.312,189.616
3.37833,576.572,resnet50,18,4,11,B-L-G,72.9217,295.337,136.952
3.576,599.006,resnet50,18,7,14,B-L-G,121.337,278.518,97.1036
4.83195,472.049,resnet50,18,7,11,B-L-G,128.596,205.579,135.837
0.809498,1235.33,resnet50,18,18,18,L-G-B,1235.33,0,0
1.23478,2142.25,resnet50,18,10,14,L-G-B,809.861,92.5719,77.0058
2.53185,937.204,resnet50,18,4,14,L-G-B,394.965,193.286,79.0503
3.00882,920.857,resnet50,18,4,8,L-G-B,332.355,71.557,154.963
2.59155,925.486,resnet50,18,4,11,L-G-B,385.867,145.903,112.095
1.6775,1543.09,resnet50,18,7,14,L-G-B,596.121,129.155,77.7872
1.64205,1526.9,resnet50,18,7,11,L-G-B,608.992,98.3582,109.055
0.811827,1231.79,resnet50,18,18,18,L-B-G,1231.79,0,0
1.10021,2451.95,resnet50,18,10,14,L-B-G,908.914,246.793,103.721
2.02447,1328.94,resnet50,18,4,14,L-B-G,493.952,462.129,98.3617
2.35135,1195.95,resnet50,18,4,8,L-B-G,425.286,211.595,184.028
1.93324,1335.29,resnet50,18,4,11,L-B-G,517.265,448.928,133.286
1.25461,1923.43,resnet50,18,7,14,L-B-G,797.057,471.2,104.58
1.38523,1863.43,resnet50,18,7,11,L-B-G,721.901,285.099,137.657
19.4762,51.3447,squeezenet,19,19,19,G-B-L,50.9683,00,0 ms
9.1914,181.105,squeezenet,19,9,14,G-B-L,34.2725,34.8525,108.675
9.18974,215.065,squeezenet,19,5,14,G-B-L,25.2101,79.2843,108.72
6.17577,238.67,squeezenet,19,5,10,G-B-L,25.7692,49.468,161.84
7.43845,225.15,squeezenet,19,5,12,G-B-L,26.174,63.0166,134.352
9.12481,187.426,squeezenet,19,7,14,G-B-L,32.0869,43.0649,109.489
7.30326,199.621,squeezenet,19,7,12,G-B-L,31.184,27.4158,136.84
20.2685,49.3376,squeezenet,19,19,19,G-L-B,49.0075,0,0
15.2329,159.251,squeezenet,19,9,14,G-L-B,32.662,65.1297,18.3377
6.07736,338.816,squeezenet,19,5,14,G-L-B,23.7008,163.605,16.9072
9.05297,238.06,squeezenet,19,5,10,G-L-B,25.7614,109.475,28.6136
7.32273,284.047,squeezenet,19,5,12,G-L-B,22.5674,135.652,22.2879
12.1328,189.929,squeezenet,19,7,14,G-L-B,31.4292,81.8855,18.2711
18.2073,138.227,squeezenet,19,7,12,G-L-B,30.7208,54.4506,25.7675
13.8585,72.1579,squeezenet,19,19,19,B-G-L,72.1571,0,0
9.02979,205.327,squeezenet,19,9,14,B-G-L,48.7376,23.9525,110.627
9.09718,181.272,squeezenet,19,5,14,B-G-L,37.0162,27.853,109.811
6.11392,231.233,squeezenet,19,5,10,B-G-L,34.51,24.4952,163.48
7.32647,204.257,squeezenet,19,5,12,B-G-L,34.9663,21.7552,136.411
8.97042,202.373,squeezenet,19,7,14,B-G-L,46.5947,28.8625,111.37
7.23368,225.513,squeezenet,19,7,12,B-G-L,45.1772,18.8978,138.156
13.766,72.643,squeezenet,19,19,19,B-L-G,72.6421,0,0
15.679,183.697,squeezenet,19,9,14,B-L-G,63.7782,39.0755,40.148
11.6359,213.242,squeezenet,19,5,14,B-L-G,46.8249,85.1245,41.7045
16.3256,167.886,squeezenet,19,5,10,B-L-G,49.2388,60.3584,30.6592
13.4075,192.257,squeezenet,19,5,12,B-L-G,48.1834,73.7423,46.0418
15.486,187.425,squeezenet,19,7,14,B-L-G,64.5729,47.4648,42.4393
17.2337,166.146,squeezenet,19,7,12,B-L-G,58.0245,28.5977,28.9988
2.29344,436.026,squeezenet,19,19,19,L-G-B,436.025,0,0
3.69061,762.626,squeezenet,19,9,14,L-G-B,270.956,22.0085,19.3809
5.89567,480.539,squeezenet,19,5,14,L-G-B,169.614,41.129,17.0933
5.8965,479.664,squeezenet,19,5,10,L-G-B,169.59,22.9083,27.9204
5.89933,479.811,squeezenet,19,5,12,L-G-B,169.509,31.9371,22.329
3.91619,719.419,squeezenet,19,7,14,L-G-B,255.348,26.7347,16.8342
3.93195,715.97,squeezenet,19,7,12,L-G-B,254.325,17.8537,22.4484
2.29074,436.541,squeezenet,19,19,19,L-B-G,436.539,0,0
3.40047,826.983,squeezenet,19,9,14,L-B-G,294.075,57.4643,40.1663
4.25771,659.411,squeezenet,19,5,14,L-B-G,234.866,171.924,40.1437
4.67942,602.077,squeezenet,19,5,10,L-B-G,213.7,116.558,58.5416
4.44538,632.265,squeezenet,19,5,12,L-B-G,224.951,143.401,49.5653
3.50118,803.744,squeezenet,19,7,14,L-B-G,285.616,78.6106,40.4868
3.63676,773.859,squeezenet,19,7,12,L-B-G,274.968,49.3031,49.3458